state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
South Dakota,668,899,487,747,881,"1,013",668,773,"1,271",987,1337,1521,1231,1108,1265,1229,1017,1132,1199
Tennessee,"6,234","5,674","3,367","5,844","8,960","10,037","8,942","8,348","9,042","8,156",8279,8573,8380,8507,8833,10032,9793,9590,9507
Texas,"85,905","88,142","53,412","92,440","95,951","89,027","77,278","89,811","95,384","87,750",94481,95557,92674,95295,99727,110651,110126,104515,107955
Utah,"5,218","4,871","3,159","4,346","5,082","5,749","5,168","6,087","6,466","6,085",6426,5932,5503,6166,6883,7271,6390,5723,6838
Vermont,950,"1,003",550,814,"1,042",894,791,771,792,867,943,877,838,791,792,886,787,824,648
Virginia,"26,767","25,319","19,726","22,104","27,095","38,483","29,682","30,257","29,825","28,607",27767,28227,27861,28477,27622,29242,29466,27426,24784
Washington,"22,977","25,631","17,935","19,758","26,480","23,803","22,657","23,170","27,562","22,283",23789,23060,22994,22710,24765,27304,27363,26029,25570
West Virginia,736,635,483,634,847,763,721,798,734,729,830,779,760,783,786,928,776,675,817
Wisconsin,"8,442","6,486","4,357","5,580","7,907","8,339","7,381","7,306","6,727","6,189",6245,6049,5918,5997,6655,7111,6681,7433,7138
Wyoming,306,278,253,304,321,376,380,458,429,452,420,427,522,414,539,462,444,409,410
Other1,"1,531","1,227","1,140","1,077",937,"1,366","1,047","1,117","1,495","1,694",1480,1667,1379,1336,1116,1225,1413,1212,1295
Unknown,15,8,7,6,9,1,1,-,2,-,0,0,0,1,202,1809,820,624,812
