country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dominica,93,148,204,132,198,471,428,454,484,366,287,125,244,345,229,298,510,492,511
Dominican Republic,"21,195","22,515","26,159","30,506","27,503","38,068","28,024","31,879","49,414","53,870",46109,41566,41311,44577,50610,61161,58520,57413,49911
Ecuador,"9,665","10,561","7,066","8,626","11,608","17,489","12,248","11,663","12,128","11,492",11103,9342,10591,10960,10187,10757,10594,11472,11083
Egypt,"5,159","4,852","3,348","5,522","7,905","10,500","9,267","8,712","8,844","8,978",7778,8988,10294,11477,12085,12045,9834,9826,9479
El Salvador,"31,089","31,060","28,231","29,807","21,359","31,782","21,127","19,659","19,909","18,806",18667,16256,18260,19273,19487,23449,25109,28326,27656
Equatorial Guinea,3,8,,13,10,13,4,16,32,12,13,20,18,15,25,18,20,17,30
Eritrea,540,560,556,675,796,"1,593","1,081","1,270","1,928","1,656",2102,2643,2138,2002,2220,2267,2449,2428,2385
Estonia,348,343,235,322,438,423,368,287,282,260,191,227,211,220,189,211,176,151,193
Ethiopia,"5,092","7,565","6,635","8,286","10,571","16,152","12,786","12,917","15,462","14,266",13793,14544,13097,12300,11394,13232,14637,12403,9060
Fiji,"1,452","1,208","1,095","1,593","1,422","2,115","1,637","1,176","1,194","1,201",1041,853,895,802,875,866,805,730,734
Finland,497,426,241,388,574,542,426,302,423,397,363,348,331,350,407,489,439,442,497
France,"4,569","3,797","2,375","3,595","4,399","4,258","3,423","4,872","4,491","3,861",3653,3862,4425,4284,4693,5159,4782,4276,4787
French Guiana,8,6,4,3,8,15,9,6,18,9,0,0,0,0,0,0,0,0,0
French Polynesia,16,12,14,13,19,37,27,26,30,16,21,30,0,24,14,27,20,10,25
Gabon,32,41,40,50,66,85,95,82,171,138,204,197,127,167,146,165,150,112,148
Gambia,390,343,263,422,581,897,826,739,978,859,972,1159,1018,1111,1142,1247,1134,1023,1378
Georgia,786,886,735,964,"1,389","2,003","1,554","1,620","1,578","1,518",1490,1341,1368,1240,1410,1635,1629,1643,1691
Germany,"9,790","8,888","5,064","7,099","9,264","8,436","7,582","7,091","7,583","6,888",6125,5812,6032,5584,5436,5306,4662,4443,4848
Ghana,"4,023","4,248","4,410","5,337","6,491","9,367","7,610","8,195","8,401","7,429",8798,10592,10265,7115,6186,6949,8455,8394,8526
Greece,"1,155","1,009",651,769,"1,070","1,124",882,769,798,745,949,1054,1361,1235,1211,1451,1314,1214,1350
Grenada,645,634,481,609,840,"1,068",751,784,748,664,579,671,687,633,525,585,544,501,554
Guadeloupe,84,38,35,59,48,53,38,33,32,34,0,0,0,0,0,0,0,0,0
Guatemala,"13,496","16,178","14,386","18,920","16,818","24,133","17,908","16,182","12,187","10,467",11092,10341,10224,10238,11773,13002,13198,15638,13453
Guinea,11,16,29,347,495,"1,110","1,088","1,735","1,725","1,379",1555,1656,1518,1375,1389,1501,1348,1282,1579
Guinea-Bissau,273,289,176,5,26,25,25,17,20,30,29,47,43,30,39,37,48,27,51
Guyana,"8,279","9,938","6,809","6,351","9,317","9,552","5,726","6,823","6,670","6,749",6599,5683,5897,6267,5543,5771,5468,5165,5385
Haiti,"27,031","20,213","12,293","14,191","14,524","22,226","30,405","26,007","24,280","22,582",22111,22818,20351,15274,16967,23584,21824,21360,17253
Honduras,"6,571","6,435","4,645","5,508","7,012","8,177","7,646","6,540","6,404","6,448",6133,6884,8898,8156,9274,13302,11387,13794,15901
Hong Kong,"8,300","6,075","3,574","3,951","3,705","3,256","3,527","3,373","2,651","2,432",2306,2104,2226,2278,2085,2510,2415,2075,2021
Hungary,"1,263","1,274","1,021","1,272","1,567","1,704","1,266","1,127","1,314","1,022",1044,1054,1052,996,1095,1048,972,917,1070
Iceland,134,93,97,105,135,145,95,122,131,105,90,103,139,86,104,97,86,89,70
India,"70,032","70,823","50,228","70,151","84,680","61,369","65,353","63,352","57,304","69,162",69013,66434,68458,77908,64116,64687,60394,59821,54495
Indonesia,"2,525","2,418","1,805","2,419","3,924","4,868","3,716","3,606","3,679","3,032",2856,2603,2731,2139,2084,2129,1914,1756,1899
Iran,"10,425","12,960","7,230","10,434","13,887","13,947","10,460","13,852","18,553","14,182",14822,12916,12863,11615,13114,13298,13791,10116,6640
Iraq,"4,965","5,174","2,450","3,494","4,077","4,337","3,765","4,795","12,110","19,855",21133,20369,9552,19153,21107,18904,14203,14351,6514
Ireland,"1,505","1,398",983,"1,531","2,088","1,906","1,503","1,465","1,637","1,507",1371,1514,1626,1605,1607,1759,1485,1401,1760
Israel,"3,744","3,826","2,741","4,160","5,755","5,943","4,496","5,851","5,612","4,515",3826,4153,3996,3805,3965,4142,3802,3706,4304
Italy,"3,096","2,578","1,644","2,346","3,066","3,215","2,569","2,514","2,892","2,579",2443,2673,2960,3298,3544,4078,3655,3329,3822
Jamaica,"15,322","14,835","13,347","14,430","18,345","24,976","19,375","18,477","21,783","19,825",19662,20705,19400,19026,17642,23350,21905,20347,21689
Japan,"9,578","8,248","5,971","7,697","8,768","8,265","6,748","6,821","7,690","6,264",6161,6061,5925,5545,5395,5207,4635,4317,4503
Jordan,"4,572","3,964","2,927","3,431","3,748","4,038","3,917","3,936","4,282","3,868",3876,4099,4188,5187,4664,5269,5264,5322,4998
Kazakhstan,"2,310","2,315","1,740","1,906","2,223","2,073","1,604","1,630","1,562","1,282",1235,1202,1241,1221,1201,1310,1377,1378,1533
Kenya,"2,501","3,199","3,209","5,335","5,347","8,779","7,030","6,998","9,880","7,421",7762,7043,6123,5884,5602,6274,6957,7190,7052
Kiribati,,4,4,,4,8,10,4,10,6,0,0,0,0,0,0,0,0,0
"Korea, North",,,,,,,,,67,35,36,49,48,142,55,47,32,41,29
Korea,"20,532","20,724","12,382","19,766","26,562","24,386","22,405","26,666","25,859","22,227",0,0,0,0,0,0,0,0,0
Kosovo,,,,,,,,,,355,670,782,839,758,814,1020,1014,886,1020
Kuwait,"1,258","1,056",707,"1,091","1,152","1,230","1,017","1,104","1,124","1,037",973,1044,937,1057,1055,1186,1177,1090,1201
Kyrgyzstan,582,473,356,439,656,785,597,632,574,507,542,648,652,707,790,847,715,908,881
Laos,"1,398","1,245",896,"1,147","1,242","2,892","2,575","2,198","1,688","1,200",956,949,923,806,917,856,685,863,850
Latvia,711,683,458,605,768,892,568,455,444,435,426,436,424,384,480,391,359,356,319
Lebanon,"4,579","3,935","2,956","3,818","4,282","4,083","4,267","4,254","3,831","3,487",3295,2879,2783,3245,2813,2971,2818,2581,2605
Lesotho,6,13,5,14,12,18,14,16,14,23,25,17,20,13,23,19,24,12,22
Liberia,"2,273","2,869","1,766","2,757","4,880","6,887","4,102","7,193","7,641","4,837",4151,4109,3334,3874,3795,3619,4155,3101,3495
Libya,223,158,140,185,223,271,186,285,296,355,357,315,376,524,734,642,780,499,511
Lithuania,"1,732","1,786","2,266","2,480","2,417","1,885","1,361",967,"1,069",985,936,924,854,747,750,735,645,658,750
Luxembourg,34,32,16,13,35,28,39,28,30,22,24,19,40,26,27,34,33,30,42
Macau,340,284,244,192,133,189,178,205,158,143,130,120,106,105,99,109,109,91,99
Macedonia,921,821,653,775,"1,070","1,317","1,227","1,107","1,128",963,0,0,0,0,0,0,0,0,0
Madagascar,61,43,40,54,60,72,53,77,71,80,83,79,95,86,72,88,60,79,75
Malawi,70,56,62,83,131,131,123,133,164,164,123,192,159,172,160,205,228,257,213
Malaysia,"2,439","2,124","1,200","1,987","2,632","2,281","2,149","1,945","2,014","1,714",2273,2605,2477,2622,2749,3382,4109,3051,2303
Maldives,9,9,15,7,6,,9,,6,,0,3,5,13,8,11,5,0,8
Mali,119,105,124,163,277,408,412,523,576,528,629,734,667,604,587,598,544,488,586
Malta,57,44,37,57,74,70,53,66,58,74,51,62,43,39,58,65,75,58,47
Marshall Islands,,26,26,48,32,53,48,39,48,37,38,50,46,56,32,32,23,23,22
Martinique,22,19,14,26,37,30,23,24,24,15,0,0,0,0,0,0,0,0,0
Mauritania,117,124,131,170,275,720,651,844,597,495,393,410,354,320,298,317,287,212,230
Mauritius,84,83,57,65,99,108,88,83,110,84,101,77,83,81,96,110,96,67,95
Mexico,"205,560","218,822","115,585","175,411","161,445","173,749","148,640","189,989","164,920","139,120",143446,146406,135028,134052,158619,174534,170581,161858,156052
"Micronesia, Federated States",9,,4,5,6,12,7,13,16,10,9,13,4,5,6,11,6,19,21
Moldova,"2,068","2,103","1,151","1,507","3,506","3,036","1,356","1,692","2,295","1,981",2258,2021,2485,2341,2496,2929,2480,2206,1935
Monaco,9,17,3,7,7,0,6,7,,12,6,5,8,8,10,11,14,13,7
Mongolia,102,135,153,229,323,497,530,659,831,594,774,691,729,651,644,750,661,636,765
Montenegro,0,0,0,0,0,0,0,0,0,120,204,265,265,289,251,387,323,299,376
